C://Users//naikn//ResumeGit//Do_Not_Delete_BI\Neha_2024_BI_ML_Qlik_Short_NN_Done_Work.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-10 12:38:11
C://Users//naikn//ResumeGit//Do_Not_Delete_BI\Neha_2024_BI_ML_Qlik_Short_NN_Done_Work.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-10 16:51:28
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_ML_Qlik_Short_NN_Done_Work.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-10 23:50:43
C://Users//naikn//ResumeGit//Do_Not_Delete_BI\Neha_2024_BI_ML_Tableau_Qlik.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-15 12:12:53
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_Changed.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-15 20:52:21
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_Changed.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-18 11:58:43
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_Changed.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-18 12:05:20
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_Original.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-19 14:00:11
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_College_1.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-19 18:08:25
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_College_1.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-19 18:11:06
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_College_1.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-19 18:12:17
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_College_1.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-19 18:13:15
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_Original.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-19 19:34:05
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_Original.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-22 22:40:44
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_ML_Qlik_Short_NN_Done_Work.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-22 23:04:12
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_ML_Tab_VBA.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-23 09:05:50
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_ML_Qlik_Master_Updated.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-24 12:42:45
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DS_SQL_College.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-25 12:51:34
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_DS_Tiktok.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-25 21:52:44
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_ML_Tab_VBA.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-25 22:28:52
C://Users//naikn//ResumeGit//Do_Not_Delete_DA\Neha_2024_DA_ML_Power_VBA.docx,Converting the last modified .docx file in the ResumeGit folder to PDF format.,2024-07-26 18:26:40
